"id","user_id","channel","platform","location","gender","since_last","revenue","items","orders","avg_order"
"2 - High enders",1831517,"direct","mobile","US","male",7,696,12,4,174
"2 - High enders",1655209,"direct","desktop","US","male",11,582,10,4,145.5
"1 - Stars",1465955,"organic search","mobile","international","male",18,534,9,3,178
"1 - Stars",1115911,"email","desktop","US","male",91,532,9,2,266
"1 - Stars",1664069,"paid","desktop","US","male",37,507,9,4,126.75
"1 - Stars",1467039,"direct","desktop","US","male",11,478,8,6,79.67
"1 - Stars",1352910,"organic search","desktop","US","male",63,465,8,5,93
"1 - Stars",2142644,"other","desktop","US","male",22,358,6,3,119.33
"1 - Stars",1406786,"paid","mobile","US","male",95,352,6,4,88
"2 - High enders",1839889,"direct","desktop","US","male",116,345,6,1,345
"3 - Cash cows",1542887,"paid","desktop","US","male",439,126,2,1,126
"3 - Cash cows",1823491,"organic search","desktop","US","male",296,126,2,1,126
"3 - Cash cows",1936580,"paid","mobile","US","male",246,126,2,1,126
"3 - Cash cows",1348263,"other","desktop","international","male",310,126,2,2,63
"3 - Cash cows",1499575,"organic search","desktop","US","male",185,126,2,2,63
"3 - Cash cows",1762420,"paid","desktop","US","female",20,126,2,2,63
"3 - Cash cows",2234475,"direct","desktop","US","male",16,126,2,2,63
"3 - Cash cows",1572423,"paid","mobile","US","male",155,128,2,2,64
"3 - Cash cows",350353,"organic search","desktop","US","female",35,133,2,1,133
"3 - Cash cows",2172297,"other","desktop","US","male",47,133,2,2,66.5
"3 - Cash cows",1525530,"direct","mobile","US","male",447,136,2,1,136
"3 - Cash cows",1803174,"direct","desktop","US","male",20,136,2,1,136
"3 - Cash cows",2504966,"direct","desktop","US","male",18,136,2,1,136
"3 - Cash cows",2611044,"other","mobile","US","male",15,136,2,1,136
"3 - Cash cows",1396716,"organic search","desktop","US","male",544,136,2,2,68
"3 - Cash cows",1598957,"direct","desktop","US","male",107,136,2,2,68
"3 - Cash cows",2516961,"direct","desktop","US","male",21,136,2,2,68
"3 - Cash cows",2567829,"paid","desktop","US","female",4,136,2,2,68
"3 - Cash cows",526994,"organic search","desktop","US","male",63,145,3,1,145
"3 - Cash cows",1344162,"other","desktop","US","female",43,145,3,1,145
"3 - Cash cows",1631989,"organic search","desktop","US","male",6,150,2,1,150
"3 - Cash cows",2367323,"direct","desktop","US","male",6,150,2,2,75
"3 - Cash cows",1341846,"direct","desktop","US","male",242,151,3,3,50.33
"3 - Cash cows",1335079,"email","desktop","international","male",86,174,3,1,174
"3 - Cash cows",2270115,"organic search","desktop","international","male",105,174,3,1,174
"3 - Cash cows",2515472,"organic search","desktop","US","male",27,174,3,1,174
"3 - Cash cows",1449157,"direct","desktop","US","male",224,174,3,2,87
"3 - Cash cows",1915047,"direct","desktop","US","male",3,174,3,2,87
"3 - Cash cows",1933769,"paid","desktop","US","male",187,174,3,2,87
"3 - Cash cows",2106205,"other","desktop","US","male",116,174,3,2,87
"3 - Cash cows",1121652,"organic search","desktop","US","male",4,174,3,3,58
"3 - Cash cows",1523485,"organic search","desktop","international","female",261,184,3,2,92
"3 - Cash cows",1605800,"direct","desktop","US","female",42,184,3,2,92
"3 - Cash cows",1668578,"other","mobile","US","male",68,184,3,2,92
"3 - Cash cows",490845,"direct","desktop","US","male",317,184,3,3,61.33
"3 - Cash cows",1041521,"paid","desktop","US","female",69,194,3,2,97
"3 - Cash cows",1404922,"direct","desktop","US","male",295,194,3,2,97
"3 - Cash cows",2288256,"organic search","desktop","US","male",55,194,3,2,97
"3 - Cash cows",1560705,"organic search","desktop","US","female",353,204,3,2,102
"3 - Cash cows",1412431,"direct","desktop","US","male",116,219,4,3,73
"3 - Cash cows",2466773,"direct","desktop","international","male",46,232,4,1,232
"3 - Cash cows",1491245,"paid","mobile","US","male",114,232,4,2,116
"3 - Cash cows",1756865,"direct","desktop","US","male",223,232,4,2,116
"3 - Cash cows",1830330,"direct","desktop","US","male",200,232,4,2,116
"3 - Cash cows",2133343,"direct","desktop","US","male",101,232,4,2,116
"3 - Cash cows",2142674,"direct","desktop","international","male",145,242,4,1,242
"3 - Cash cows",2218774,"organic search","mobile","US","male",91,242,4,1,242
"3 - Cash cows",2286488,"paid","desktop","US","male",21,279,4,2,139.5
"3 - Cash cows",1655865,"direct","mobile","US","male",56,280,5,4,70
"3 - Cash cows",2469807,"organic search","desktop","US","male",45,290,5,1,290
"3 - Cash cows",1873134,"paid","mobile","international","female",245,290,5,2,145
"3 - Cash cows",1930398,"paid","desktop","US","male",228,290,5,2,145
"3 - Cash cows",1579465,"other","desktop","US","male",54,300,5,2,150
"3 - Cash cows",1603879,"direct","desktop","US","male",106,300,5,3,100
"3 - Cash cows",1642703,"direct","desktop","US","male",21,300,5,3,100
"3 - Cash cows",1870088,"paid","desktop","US","male",3,327,5,5,65.4
"3 - Cash cows",1947200,"organic search","desktop","US","male",74,328,6,3,109.33
"4 - New lovers",18249,"organic search","desktop","US","male",80,116,2,1,116
"4 - New lovers",1219520,"organic search","desktop","US","male",94,116,2,1,116
"4 - New lovers",2078112,"direct","desktop","US","male",132,116,2,1,116
"4 - New lovers",2094594,"organic search","desktop","international","male",166,116,2,1,116
"4 - New lovers",2172175,"paid","desktop","US","male",137,116,2,1,116
"4 - New lovers",2200469,"direct","desktop","US","male",86,116,2,1,116
"4 - New lovers",2215177,"direct","desktop","US","male",123,116,2,1,116
"4 - New lovers",2516814,"direct","mobile","US","male",35,116,2,1,116
"4 - New lovers",1813056,"paid","mobile","US","female",194,108,2,1,108
"4 - New lovers",2017805,"organic search","desktop","US","male",205,108,2,1,108
"4 - New lovers",108196,"email","desktop","US","male",214,96,2,1,96
"4 - New lovers",1363005,"organic search","desktop","US","female",21,75,1,1,75
"4 - New lovers",2027183,"organic search","desktop","US","male",47,75,1,1,75
"4 - New lovers",2452376,"direct","desktop","US","male",46,75,1,1,75
"4 - New lovers",2489615,"organic search","desktop","US","male",39,75,1,1,75
"4 - New lovers",2525014,"organic search","mobile","US","female",28,75,1,1,75
"4 - New lovers",2585229,"direct","desktop","US","female",21,75,1,1,75
"4 - New lovers",2591221,"paid","mobile","US","female",20,75,1,1,75
"4 - New lovers",2601610,"direct","mobile","US","male",17,75,1,1,75
"4 - New lovers",1602268,"paid","mobile","US","female",21,68,1,1,68
"4 - New lovers",2246290,"organic search","desktop","US","male",113,68,1,1,68
"4 - New lovers",2278727,"organic search","desktop","US","male",38,68,1,1,68
"4 - New lovers",2525476,"direct","mobile","US","male",33,68,1,1,68
"4 - New lovers",2544046,"direct","desktop","US","male",22,68,1,1,68
"4 - New lovers",2599928,"direct","desktop","US","male",18,68,1,1,68
"4 - New lovers",2625456,"direct","mobile","US","male",12,68,1,1,68
"4 - New lovers",2079632,"organic search","desktop","US","male",173,60,1,1,60
"4 - New lovers",454581,"direct","desktop","US","male",71,58,1,1,58
"4 - New lovers",1547960,"organic search","desktop","US","male",97,58,1,1,58
"4 - New lovers",1634785,"direct","mobile","US","female",26,58,1,1,58
"4 - New lovers",1797091,"email","desktop","US","male",184,58,1,1,58
"4 - New lovers",1810649,"direct","desktop","US","male",78,58,1,1,58
"4 - New lovers",1847504,"paid","desktop","US","male",41,58,1,1,58
"4 - New lovers",1929124,"organic search","mobile","US","male",145,58,1,1,58
"4 - New lovers",2013344,"organic search","desktop","US","male",27,116,2,2,58
"4 - New lovers",2172370,"organic search","desktop","US","male",133,58,1,1,58
"4 - New lovers",2235051,"email","desktop","international","male",37,58,1,1,58
"4 - New lovers",2250247,"paid","desktop","US","male",112,58,1,1,58
"4 - New lovers",2273759,"organic search","desktop","US","male",104,58,1,1,58
"4 - New lovers",2284544,"organic search","desktop","US","male",100,58,1,1,58
"4 - New lovers",2309098,"organic search","desktop","US","male",95,58,1,1,58
"4 - New lovers",2314551,"organic search","desktop","international","male",93,58,1,1,58
"4 - New lovers",2355346,"direct","desktop","US","male",81,58,1,1,58
"4 - New lovers",2377902,"direct","desktop","US","male",73,58,1,1,58
"4 - New lovers",2428577,"paid","desktop","US","male",55,58,1,1,58
"4 - New lovers",2489530,"organic search","mobile","international","male",41,58,1,1,58
"4 - New lovers",2514233,"paid","desktop","US","male",35,58,1,1,58
"4 - New lovers",2514571,"organic search","desktop","US","male",35,58,1,1,58
"4 - New lovers",2542201,"paid","desktop","US","male",20,58,1,1,58
"4 - New lovers",1406577,"direct","mobile","US","male",96,96,2,2,48
"4 - New lovers",1730788,"email","mobile","US","male",131,48,1,1,48
"4 - New lovers",2018220,"direct","desktop","US","male",205,48,1,1,48
"4 - New lovers",2062137,"direct","mobile","US","male",180,48,1,1,48
"4 - New lovers",2188011,"organic search","desktop","US","male",68,85,2,2,42.5
"5 - Recent lovers",1462635,"paid","mobile","US","female",15,252,4,2,126
"5 - Recent lovers",1497834,"direct","desktop","US","female",13,252,4,2,126
"5 - Recent lovers",2531515,"other","desktop","US","female",20,126,2,1,126
"5 - Recent lovers",831662,"paid","desktop","US","female",14,116,2,1,116
"5 - Recent lovers",2407260,"paid","desktop","US","female",4,116,2,1,116
"5 - Recent lovers",2609264,"direct","mobile","US","male",16,116,2,1,116
"5 - Recent lovers",1934226,"organic search","mobile","US","female",22,75,1,1,75
"5 - Recent lovers",2589067,"paid","desktop","US","female",20,75,1,1,75
"5 - Recent lovers",2030711,"organic search","mobile","US","male",18,68,1,1,68
"5 - Recent lovers",2049981,"paid","mobile","US","female",5,136,2,2,68
"5 - Recent lovers",2053152,"direct","desktop","US","female",13,68,1,1,68
"5 - Recent lovers",2387625,"paid","mobile","US","male",4,68,1,1,68
"5 - Recent lovers",2408161,"paid","desktop","US","male",26,68,1,1,68
"5 - Recent lovers",2421480,"organic search","mobile","US","male",30,68,1,1,68
"5 - Recent lovers",2582003,"organic search","mobile","US","female",22,68,1,1,68
"5 - Recent lovers",2590700,"paid","desktop","US","male",20,68,1,1,68
"5 - Recent lovers",2598837,"direct","desktop","US","male",18,68,1,1,68
"5 - Recent lovers",459226,"direct","desktop","US","female",11,58,1,1,58
"5 - Recent lovers",1831094,"organic search","desktop","US","female",20,58,1,1,58
"5 - Recent lovers",1645038,"paid","mobile","US","female",16,27,1,1,27
